rank,username,address,twitter
1,Arsonic,0x9f6ae0370d74f0e591c64cec4a8ae0d627817014,Ars0nic
2,crybebi,0x471801ab22320f594318ceca39d0946fa6dc4ef9,cry_bebi
3,snow.eth,0xd20ce27f650598c2d790714b4f6a7222b8ddce22,snow_nft
4,ubinhash,0x9e680f3d7566464b3b3e63c9ad37dc2b9e5452e2,ubinhash
5,zeroXnft,0xf8d0c9f300d0649861963ebae0bb568533619448,zeroXnft
6,aldover,0x9fca5cb296333aa780d3367951f766ab3d7d4098,aldover_eth
7,MorpheusSomnia,0x9c54a9c609212d2fd034b55cf3b42ba99af52880,MsomniaStack
8,Pandaone,0x302ae18228414d03b25ebe0d131720780f65baa5,TCardsPanda
9,artfulando.eth,0x8f052c26f086a90059b53d269ea44b79c6be255b,AndoBits
10,Quixuote,0x72fe3c398c9a030b9b2be1fe1ff07701167571d4,Donquixuote
11,998,0x99836cd8b265c8f0fcd35434689f46ce97bb1a23,txtallday_
12,888Mooncat,0x2e1bc66cd7243ab66738a17e6f58cc8389f03064,888Mooncat
13,Shaz,0xda8d95cdf11792975190f8b1d6e5431746c71926,Shazoholic
14,Summermaxi,0xc132224d1b8254dd104d8fb6d41f69dc671748a0,SummerMaxis
15,Doug,0xe6c95cf4a1ae50bb83c103d0f49ad80d11b04912,_DuckDimmadome
16,CanonDee,0x31963b060d71ee24a6d458b75aa85e63b99bd7fb,canondee_
17,FanBe,0x58b249a73452f624d473459fa084792704e9ae36,FanBe_web3
18,givemeasigh,0x6f15f9d78325a25a3ed808c48b43a3af08b828dd,so_givemeasigh
19,Bankart,0x850406d0b09867a22aecbaddb7daf20ec20bc750,bankarteth
20,bonafidehan,0x136bbfe37988f82f8585ed155615b75371489d45,bonafidehan
21,perilous,0x53bebd20781aaa3a831f45b3c6889010a706ff9f,pman555
22,theliems.eth,0xf1d609af9e5126bab145286ced8fec8f341a7b04,ruanchengren
23,GoldenDickbutt,0x51bfb1263d36ce0794e346c2da4d056675f78c19,GoldenDickbutt
24,pobedeen.eth,0x373d419979862c6845e74cee5ae1e075801b6abc,pobedeen
25,pravijn,0xee49f82e58a1c2b306720d0c68047cbf70c11fb5,pravijn
26,hilbertspace,0xa4ac3321fd639a7e2b53da62897955d920c97012,hilbert__space
27,quietloops,0x56bde1e5efc80b1e2b958f2d311f4176945ae77f,quietloops
28,B2Pineapple,0x52d11c3ff033231f74740873917a3c854e77d883,joeysmazik
29,serc,0x8a8035f056af830b7205c58c1dc037f826fc2b92,serc1n
30,ddrtst,0xfb4eecef04f1d45ead80a7a471d60b38b14eaa9a,ddrtst_
31,shaggyvault.eth,0x4b92e36ced303eeb59bd6c5dac555b2be13fe2b6,Shaggy8627
32,qma0000.eth,0x3ba3245300d0a4f0deb84073572a97ff09659f83,qma0000
33,siiid.eth,0x13c942e3f8be4faf966ef03e6038b33d000db22f,mysteriovision
34,doodler,0xb38bd68a6f0ba599808d65c7a9cf2a428105b680,doodler_shape
35,generationowl,0x8bf66ba2643ad1c8bab235a7bc3e0130291d07f6,gowlonthestack
36,que,0xa86cd6bfe453ad3bd3bfbb263d223a1a39eebeab,TSynok
37,obtainer,0x5476ff2a30103b83a67e57d21c699e66352a9ffb,obtainer
38,Smaug,0x5698eef04cec3d9f2c8176f60660571da6dcf42c,
39,seamorphus,0x61c5fa0c1bed50eab527e69608d1da11bd4d1bf3,seamorphus_nft
40,chucknally.eth,0xccb4e229fc4ebe2c8034960ca9a4b3ae5ef3a7bb,Chucknally
41,WolfofPeachCreek,0x0d4800876c1845fb6ba83ce696f3c7150a5f9a82,pcwolfdeeple
42,deathhimself,0xe5f6b0d624158acec793664d6c96da36e7a6910e,deathhimselfv2
43,colourwrks,0x985ac83806bfca7bf4c968df2032cb0827c4d457,colourwrks
44,gmm,0xdf36b093cbc06522b68105c3d9141db188e980b6,gmmoneyETH
45,mat,0xfea60461324cfa6d07cfe1551599f2bb139c3543,mathewe
46,shoedarg,0xf74c487e7d9ffebdcfb3189118d74b0b8591dc83,shoedarg
47,DR_,0xaaa9aca0d2aff48aab572de4d24088a80f2ae452,DRAvankLab
48,dnbmokus.eth,0x288457ac35bbdf035845acb7f2a310bbf7a74c52,CryptoFrog108
49,Kyrin_Down,0xd2d37974dca27db135ede60d3bdfe5e4c0882b82,kyaraind
50,dimisan,0x8ffa8d00db5df56a20c30b737c5efdaabe140df4,dimisanz
51,kos,0xa96d4549729c2a826237d91b3a3700cad7dfec4a,kkostya
52,lum,0x07f00bf1f5d9cf040472b28f1464bb08100ce3e5,Alex02153066459
53,arashmp,0x9eb5b23c342198ec8a2fc39456ff93c77c8944cd,Arash_mp
54,kurasho.eth,0xfb85980b31b7f453f95f6558e15a2e785c7af081,kurashooo
55,genastepanov,0x21326fe6691a6b0b00ef2382c89e4c5b5aa48726,Genapenanft
56,btc_cru,0x9c8a83a3e334679e2c31e10a51a2c2075ea15c3c,btc_cru
57,IAmRyland,0xdafd126712aacea92eb9fda9f148d949a3453faa,RylandAldrich
58,otterspace.eth,0xb7610425d72ba26090435da3a7cfd7d6afb39f3f,0xOtterSpace
59,NONSTOP,0x71f3d8fbab7efa068d5cc2d5714de614a7066dc4,non1stop1story
60,Gulati,0x1a6f0dddb884854355023a2dfe26e9174f8e0290,Gulati_eth
61,thatmarfaguy,0x4f7d1873d5bb19ba9658af721fa09d92b63a5b9d,thtmrfguy2
